doc_id,text,date,client,machine_id,problem_category,key_component,source_file,source_sheet
20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|0|SSLM21005SK|2022-01-20,"【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|0|SSLM21005SK|2022-01-20
日期：2022-01-20 00:00:00
客戶：普諾威
機台編號：SSLM21005SK
問題分類：軟體與驅動
關鍵元件：VLS
症狀：VLS無法儲存影像 海波->原來是裝了一個殺毒軟件
處理方式：D槽可以存圖
完整內容：發生日期: 2022-01-20
客戶: 普諾威
機台編號: SSLM21005SK
問題分類: 軟體與驅動
關鍵元件: VLS
問題現象: VLS無法儲存影像 海波->原來是裝了一個殺毒軟件，自動把USB屏蔽了
殺毒軟件(火絨安全軟體)卸載後，D槽可以存圖
維修處理: 
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",2022-01-20 00:00:00,普諾威,SSLM21005SK,軟體與驅動,VLS,20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|1|SSLM21005SK|2022-01-28,"【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|1|SSLM21005SK|2022-01-28
日期：2022-01-28 00:00:00
客戶：普諾威
機台編號：SSLM21005SK
問題分類：軟體與驅動
關鍵元件：VLS
症狀：VLS無法儲存影像 1.1/28又發生F槽不能儲存影像
處理方式：5.海波->加了权限电脑重开就可以用了
根因：群組為Everyone
完整內容：發生日期: 2022-01-28
客戶: 普諾威
機台編號: SSLM21005SK
問題分類: 軟體與驅動
關鍵元件: VLS
問題現象: VLS無法儲存影像 1.1/28又發生F槽不能儲存影像，但沒有安裝殺毒軟件了
2.F槽格式化，沒用
3.C & D槽不能存圖，但E槽可以(與上回一樣)
4.比較這三個槽的安全性，E槽可以存是因為群組為Everyone
5.海波->加了权限电脑重开就可以用了
維修處理: 
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",2022-01-28 00:00:00,普諾威,SSLM21005SK,軟體與驅動,VLS,20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|2|SSLM21010SR|2022-05-25,"【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|2|SSLM21010SR|2022-05-25
日期：2022-05-25 00:00:00
客戶：深南
機台編號：SSLM21010SR
問題分類：其他/未分類
症狀：DM_reader 無法取像  TeamViewer 連線至機台端_現場查修
處理方式：方可取像
完整內容：發生日期: 2022-05-25
客戶: 深南
機台編號: SSLM21010SR
問題分類: 其他/未分類
關鍵元件: N/A
問題現象: DM_reader 無法取像  TeamViewer 連線至機台端_現場查修

DMreader顯示No  Image，但pylon IP 連線OK，Pylon Viewer可以取像。


解決方式：windows防火牆將DM_reader納入""允許的應用程式與功能""，方可取像。
維修處理: 
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",2022-05-25 00:00:00,深南,SSLM21010SR,其他/未分類,,20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|3|SSLM21013NR|2022-06-07,"【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|3|SSLM21013NR|2022-06-07
日期：2022-06-07 00:00:00
客戶：旭德
機台編號：SSLM21013NR
問題分類：軟體與驅動
關鍵元件：VLS
症狀：VLS無法開啟 開啟VLS.exe時
處理方式：(已發mail告知控工)
完整內容：發生日期: 2022-06-07
客戶: 旭德
機台編號: SSLM21013NR
問題分類: 軟體與驅動
關鍵元件: VLS
問題現象: VLS無法開啟 開啟VLS.exe時，顯示""Windows無法存取指定的裝置、路徑或檔案，您可能沒有適當的權限，所以無法存取該項目。""








解決方式：關閉Acronis Active Protection 即可(設定該防毒的白名單也無法克服，故務必要關閉該功能)。(已發mail告知控工)
維修處理: 
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",2022-06-07 00:00:00,旭德,SSLM21013NR,軟體與驅動,VLS,20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|4|SSLM21003SRA|2022-06-15,"【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|4|SSLM21003SRA|2022-06-15
日期：2022-06-15 00:00:00
客戶：鵬鼎
機台編號：SSLM21003SRA
問題分類：其他/未分類
症狀：B台車頻繁警報
處理方式：故視覺有重新計算過Pixel Size
完整內容：發生日期: 2022-06-15
客戶: 鵬鼎
機台編號: SSLM21003SRA
問題分類: 其他/未分類
關鍵元件: N/A
問題現象: B台車頻繁警報
漲縮比過大 載台平面度有重新校正，故視覺有重新計算過Pixel Size
維修處理: 
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",2022-06-15 00:00:00,鵬鼎,SSLM21003SRA,其他/未分類,,20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|5|SSST30001WSD|2022-06-30,"【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|5|SSST30001WSD|2022-06-30
日期：2022-06-30 00:00:00
客戶：鵬鼎
機台編號：SSST30001WSD
問題分類：軟體與驅動
關鍵元件：VLS, 防毒軟體
症狀：VLS_v1.3.6.5
處理方式：8.目前關閉AVG Software Analyzer軟體
完整內容：發生日期: 2022-06-30
客戶: 鵬鼎
機台編號: SSST30001WSD
問題分類: 軟體與驅動
關鍵元件: VLS, 防毒軟體
問題現象: VLS_v1.3.6.5
生產時，自動關閉 1.Errlog：HALCON error #6001: Not enough memory available in operator scale_image
2.將存影像功能關閉，生產時，VLS一樣會自動關閉
3.VLS在關閉情況下，工作管理員->記憶體使用率60%多，不合理
4.電腦重開後，可以生產，記憶體使用率18~19%
5. 7/1 AM 10:00 記憶體使用率22%，主要增加的是AVG Software Analyzer（廠內安裝的防毒軟體），從昨晚離開前的60多M到現在變成900M
6. 7/1 PM 5:30 記憶體使用率24%，AVG Software Analyzer 從早上的900M多到現在升到1500M
7. 7/4 AM 9:00 記憶體使用率46%，AVG Software Analyzer已升到16000M，可確定是這軟件占用記憶體
8.目前關閉AVG Software Analyzer軟體
維修處理: 
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",2022-06-30 00:00:00,鵬鼎,SSST30001WSD,軟體與驅動,"VLS, 防毒軟體",20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|6|SSLM13001NR|2022-07-19,"【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|6|SSLM13001NR|2022-07-19
日期：2022-07-19 00:00:00
客戶：南亞
機台編號：SSLM13001NR
問題分類：光源系統
關鍵元件：相機
症狀：Cognex 2D站
處理方式：切到相機後 正常取像
完整內容：發生日期: 2022-07-19
客戶: 南亞
機台編號: SSLM13001NR
問題分類: 光源系統
關鍵元件: 相機
問題現象: Cognex 2D站
無法連線
無法取像 1. In-Sight Host 切為On-line後，才可跟In-Sight Client連線!!

2.裝置名稱選到本機才無法取像，切到相機後 正常取像。
維修處理: 
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",2022-07-19 00:00:00,南亞,SSLM13001NR,光源系統,相機,20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|7|ASDM6122|2022-07-19,"【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|7|ASDM6122|2022-07-19
日期：2022-07-19 00:00:00
客戶：南亞
機台編號：ASDM6122
問題分類：光源系統
關鍵元件：相機
症狀：Cognex 2D站
處理方式：(疑似為連線問題)
完整內容：發生日期: 2022-07-19
客戶: 南亞
機台編號: ASDM6122
問題分類: 光源系統
關鍵元件: 相機
問題現象: Cognex 2D站
軟體連接異常 開啟In-Sight PC Host即顯示 ""Attempting to  reconnect to LA25-2D_CODE""

客戶自行重插拔 相機端的網路線後，即正常。(疑似為連線問題)
維修處理: 
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",2022-07-19 00:00:00,南亞,ASDM6122,光源系統,相機,20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
"20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|8|SSST10001BO
SSLM22002SR|UNKNOWN","【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|8|SSST10001BO
SSLM22002SR|UNKNOWN
日期：UNKNOWN
客戶：南亞
機台編號：SSST10001BO
SSLM22002SR
問題分類：訊號與干擾
症狀：Trigger訊號數量異常
處理方式：結果為 台車在 ""掃像距離""時 有加減速 導致訊號不穩定
根因：訊號不穩定
完整內容：發生日期: UNKNOWN
客戶: 南亞
機台編號: SSST10001BO
SSLM22002SR
問題分類: 訊號與干擾
關鍵元件: N/A
問題現象: Trigger訊號數量異常
不穩定,無法成像 1. 更動 掃像起始點 或 Laser打印原點 造成掃像失敗。
2. 查看LOG, 結果為訊號不足導致。
3. 分析後, 結果為 台車在 ""掃像距離""時 有加減速 導致訊號不穩定
維修處理: 
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",UNKNOWN,南亞,"SSST10001BO
SSLM22002SR",訊號與干擾,,20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|9|SSST32002TC|2022-11-22,"【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|9|SSST32002TC|2022-11-22
日期：2022-11-22 00:00:00
客戶：南亞
機台編號：SSST32002TC
問題分類：訊號與干擾
關鍵元件：CCD, 線材
症狀：CCD2 Count足夠:77次 (CCD橘燈問題
處理方式：12/01 跟Handler告知取像流程異常 TimeOut
根因：流程過早下取像命令
完整內容：發生日期: 2022-11-22
客戶: 南亞
機台編號: SSST32002TC
問題分類: 訊號與干擾
關鍵元件: CCD, 線材
問題現象: CCD2 Count足夠:77次 (CCD橘燈問題, 重送電下午OK) 

Count 0 的可能原因： 流程過早下取像命令, 中間有等待, 手臂超過10sec 才動作,導致TimeOut 取像失敗
Count Lose  的可能原因：訊號干擾
CCD1、CCD2 Count足夠 卻掃像失敗 的可能原因：訊號數量雖足夠,但非有效訊號導致取像失敗, 實為訊號干擾 

11/28 外拉OVP→4xmo線材 
12/01 跟Handler告知取像流程異常 TimeOut
維修處理: 
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",2022-11-22 00:00:00,南亞,SSST32002TC,訊號與干擾,"CCD, 線材",20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
